Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
P07284	YDR023W	7.22E-06	5.00E-06	3.23E-06	2.81E-06	5.12E-06	2.51E-07	7.48E-08	1.13E-08	2.28E-07	3.63E-08
P07285	YDR354W	5.65E-07	4.77E-07	2.60E-07	2.10E-07	2.47E-07	7.19E-08	1.39E-08	1.39E-08	6.98E-09	1.18E-08
P07342	YMR108W	1.21E-05	1.04E-05	6.07E-06	5.11E-06	1.14E-05	6.28E-07	2.93E-08	3.15E-07	3.34E-07	2.45E-07
P07347	YHR013C	8.34E-07	8.22E-07	4.77E-07	4.20E-07	6.11E-07	5.78E-09	4.13E-08	7.53E-09	1.99E-08	1.86E-08
P07560	YFL005W	1.08E-06	1.45E-06	9.21E-07	7.50E-07	6.94E-07	1.24E-07	9.37E-08	4.93E-08	3.52E-08	1.45E-07
P07702	YBR115C	1.57E-06	1.74E-06	1.17E-06	8.91E-07	1.46E-06	1.96E-07	1.67E-08	5.66E-08	1.50E-08	4.77E-08
P07703	YPR110C	1.80E-06	1.73E-06	9.67E-07	8.78E-07	1.48E-06	1.90E-07	8.09E-08	4.01E-08	5.52E-08	6.18E-08
P07991	YLR438W	3.84E-06	3.53E-06	1.03E-06	8.97E-07	3.92E-07	8.18E-07	7.90E-08	1.12E-08	1.45E-08	4.26E-08
P08018	YJL128C	1.27E-07	1.35E-07	9.87E-08	8.59E-08	1.04E-07	3.12E-08	1.38E-08	9.53E-09	1.27E-08	1.49E-08
P08067	YEL024W	3.10E-06	3.26E-06	2.43E-06	1.79E-06	2.87E-06	2.55E-07	3.40E-07	9.95E-08	2.43E-07	2.12E-07
P08417	YPL262W	8.96E-06	7.28E-06	4.86E-06	3.09E-06	1.04E-05	4.06E-07	7.07E-08	9.88E-08	1.50E-07	1.19E-06
P08425	YPR047W	1.85E-07	1.58E-07	1.33E-07	8.23E-08	1.70E-07	5.41E-08	2.92E-08	3.99E-08	1.86E-08	1.32E-08
P08465	YNL277W	1.12E-06	1.02E-06	7.57E-07	6.47E-07	1.01E-06	1.68E-07	1.18E-07	7.36E-08	2.72E-08	1.24E-07
P08466	YJL208C	2.94E-07	2.58E-07	1.25E-07	9.16E-08	3.44E-07	4.96E-08	2.50E-08	1.13E-08	5.75E-09	5.14E-08
P08518	YOR151C	6.00E-07	6.13E-07	4.16E-07	3.39E-07	5.40E-07	3.59E-08	1.24E-08	1.03E-08	2.41E-08	1.83E-08
