Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
P08524	YJL167W	9.67E-06	1.64E-05	1.37E-05	1.07E-05	9.73E-06	1.71E-07	5.82E-07	7.22E-07	9.43E-07	3.35E-07
P08525	YJL166W	4.46E-06	4.35E-06	3.34E-06	2.42E-06	4.11E-06	2.72E-07	2.07E-07	1.96E-07	8.66E-08	2.73E-07
P08536	YJR010W	1.49E-05	1.17E-05	8.90E-06	7.82E-06	1.28E-05	7.71E-07	3.40E-07	1.97E-07	8.74E-08	8.63E-07
P08539	YHR005C	7.90E-07	9.14E-07	6.58E-07	5.77E-07	4.98E-07	5.33E-08	3.86E-08	3.36E-08	3.24E-08	6.63E-08
P08566	YDR127W	2.08E-06	1.91E-06	1.06E-06	8.38E-07	1.87E-06	3.51E-07	1.75E-08	1.78E-08	2.75E-08	4.68E-08
P08593	YPR134W	1.04E-08	NA	5.66E-09	3.62E-09	3.64E-09	NA	NA	1.80E-09	5.53E-10	NA
P08678	YJL005W	6.24E-08	8.52E-08	6.70E-08	6.39E-08	4.05E-08	1.23E-09	6.91E-10	2.82E-09	4.95E-09	2.35E-09
P08679	YCR005C	8.58E-07	4.54E-07	1.73E-07	1.37E-07	5.47E-07	1.64E-07	2.53E-08	1.37E-08	1.87E-08	3.50E-08
P09032	YOR260W	5.59E-07	4.49E-07	3.18E-07	2.72E-07	5.02E-07	4.21E-08	6.00E-08	2.78E-08	2.07E-08	2.71E-08
P09064	YPL237W	9.71E-07	8.56E-07	5.25E-07	4.26E-07	8.79E-07	9.56E-08	1.21E-07	2.50E-08	2.90E-08	3.29E-08
P09201	YLR377C	2.33E-06	1.72E-06	NA	NA	3.49E-07	3.78E-07	NA	NA	NA	1.83E-07
P09232	YEL060C	5.63E-06	1.06E-05	1.15E-05	7.71E-06	1.42E-06	4.34E-07	8.99E-08	6.32E-07	1.02E-06	1.07E-07
P09368	YLR142W	3.73E-08	2.74E-07	2.93E-07	3.32E-07	3.13E-08	NA	3.36E-08	3.77E-08	3.74E-08	1.45E-08
P09435	YBL075C	3.43E-08	2.71E-08	1.43E-09	NA	1.20E-09	1.95E-08	7.12E-09	NA	NA	2.45E-10
P09436	YBL076C	2.08E-06	2.15E-06	1.33E-06	1.05E-06	2.14E-06	2.40E-07	5.15E-08	9.27E-09	7.04E-08	7.35E-08
P09440	YBR084W	5.95E-07	5.52E-07	3.58E-07	2.95E-07	9.62E-07	5.37E-08	1.72E-08	3.89E-09	1.44E-08	4.85E-08
P09457	YDR298C	1.98E-05	1.85E-05	1.38E-05	9.56E-06	1.55E-05	1.21E-06	2.07E-07	3.78E-07	6.56E-07	1.37E-06
P09547	YPL016W	8.67E-10	7.44E-09	1.23E-09	7.96E-10	6.04E-10	NA	8.37E-09	2.02E-10	1.09E-10	2.18E-10
P09620	YGL203C	NA	1.07E-08	6.01E-09	4.70E-09	8.37E-09	NA	8.98E-10	1.20E-09	1.56E-09	NA
P09624	YFL018C	1.23E-05	1.18E-05	7.26E-06	5.33E-06	9.69E-06	2.30E-07	1.01E-07	9.25E-08	1.85E-07	8.31E-07
P09733	YML085C	7.35E-06	9.44E-06	5.78E-06	5.20E-06	4.28E-06	7.43E-07	4.10E-07	1.17E-07	3.87E-08	2.11E-07
P09734	YML124C	1.68E-06	1.72E-06	9.28E-07	9.44E-07	1.31E-06	6.56E-08	1.06E-07	7.02E-08	1.50E-08	6.93E-08
P09880	YJL087C	1.06E-07	1.14E-07	8.90E-08	6.23E-08	1.18E-07	1.79E-08	5.93E-09	5.57E-09	4.23E-09	1.03E-08
P09938	YJL026W	1.57E-05	3.73E-05	2.16E-05	1.60E-05	4.13E-06	6.84E-07	9.03E-07	5.94E-07	1.66E-06	1.86E-07
P09950	YDR232W	1.34E-07	9.33E-08	6.23E-08	4.99E-08	2.10E-07	7.83E-09	2.67E-09	8.45E-09	1.00E-08	1.20E-08
P09959	YLR182W	6.27E-09	7.92E-09	6.81E-09	4.73E-09	5.59E-09	4.22E-10	9.55E-10	2.41E-09	3.03E-10	2.24E-10
P0C0X0	YLR264W	1.03E-06	8.00E-07	4.94E-07	4.76E-07	1.25E-06	7.07E-08	NA	NA	NA	4.09E-08
P0C2H8	YDL075W	2.55E-05	2.30E-05	1.34E-05	1.15E-05	2.61E-05	1.37E-06	1.13E-06	2.82E-07	6.58E-07	9.17E-07
P0C2H9	YLR406C	4.62E-06	4.93E-06	2.65E-06	2.55E-06	5.00E-06	1.41E-06	6.26E-07	4.34E-07	2.76E-07	5.46E-08
P0CE41	YLR256W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0CT04	YNL015W	2.87E-05	3.04E-05	1.98E-05	1.45E-05	1.55E-05	1.19E-06	3.63E-07	6.80E-07	6.14E-07	2.31E-06
P10080	YHL034C	8.83E-06	1.02E-05	6.62E-06	5.79E-06	4.55E-06	5.83E-07	5.87E-07	1.31E-07	4.19E-07	2.28E-07
P10081	YKR059W	2.45E-05	2.77E-05	1.94E-05	1.48E-05	2.60E-05	4.32E-07	1.98E-06	6.96E-07	1.19E-06	4.11E-07
P10356	YER152C	1.65E-07	NA	1.80E-07	5.72E-08	1.44E-07	3.06E-08	NA	2.06E-08	NA	2.33E-08
P10363	YIR008C	4.48E-07	2.49E-07	2.79E-07	1.99E-07	2.45E-07	6.51E-08	1.66E-07	7.73E-09	7.52E-08	9.43E-09
P10507	YLR163C	4.67E-07	4.12E-07	2.79E-07	2.31E-07	5.03E-07	3.45E-08	1.94E-08	7.49E-09	2.03E-08	4.22E-08
P10566	YJL133W	3.38E-07	3.08E-07	2.08E-07	1.83E-07	1.80E-07	3.20E-08	1.35E-08	1.64E-08	1.00E-08	1.34E-08
P10591	YAL005C	2.78E-05	3.11E-05	2.35E-05	1.61E-05	1.43E-05	1.21E-06	1.26E-06	9.50E-07	7.21E-07	7.98E-07
P10592	YLL024C	4.24E-05	4.92E-05	4.12E-05	3.24E-05	5.41E-05	1.37E-06	8.72E-07	1.43E-06	7.41E-07	4.93E-06
P10614	YHR007C	1.51E-06	3.75E-06	2.32E-06	1.88E-06	1.15E-06	2.74E-07	3.12E-07	2.32E-07	2.02E-07	1.98E-07
P10622	YDL130W	5.24E-06	4.70E-06	3.22E-06	2.36E-06	4.93E-06	6.17E-07	5.92E-07	2.53E-07	1.68E-07	2.75E-07
P10659	YLR180W	4.54E-06	5.09E-06	4.24E-06	4.04E-06	8.37E-06	5.59E-07	5.29E-08	3.28E-07	3.41E-07	5.05E-07
P10662	YDR347W	3.80E-07	2.22E-07	1.45E-07	9.88E-08	5.40E-07	2.66E-08	8.28E-09	4.95E-09	3.23E-09	6.77E-08
P10663	YPR166C	2.85E-08	2.51E-08	1.21E-08	9.16E-09	3.74E-08	4.49E-09	5.99E-09	7.35E-10	2.77E-10	1.27E-09
P10823	YER020W	4.05E-07	4.02E-07	2.93E-07	2.16E-07	1.65E-07	3.68E-08	3.50E-08	1.31E-08	1.98E-08	3.69E-09
P10834	YGR222W	NA	7.85E-08	NA	1.78E-08	NA	NA	NA	NA	NA	NA
P10849	YDL044C	1.43E-07	1.19E-07	8.44E-08	6.76E-08	1.26E-07	1.55E-08	7.72E-09	4.45E-09	1.58E-09	4.09E-09
P10869	YER052C	3.07E-06	2.37E-06	1.21E-06	9.43E-07	3.96E-06	2.79E-07	4.68E-08	2.04E-08	9.30E-08	1.52E-07
P10962	YAL025C	6.06E-07	4.00E-07	2.08E-07	1.92E-07	6.16E-07	2.92E-08	3.10E-08	1.01E-08	1.99E-08	1.02E-08
P10963	YKR097W	1.44E-06	1.24E-06	1.91E-07	NA	6.89E-07	2.60E-07	7.57E-08	3.60E-09	NA	1.57E-07
P10964	YOR341W	6.17E-07	6.62E-07	3.81E-07	3.16E-07	6.23E-07	3.24E-08	4.10E-09	1.49E-08	8.63E-09	2.00E-08
P11075	YDR170C	2.14E-07	3.39E-07	2.15E-07	1.89E-07	1.12E-07	2.35E-08	3.23E-08	1.22E-08	1.42E-08	1.51E-08
P11154	YGL062W	2.06E-06	2.35E-06	1.71E-06	1.53E-06	3.87E-06	1.46E-07	7.44E-08	2.32E-08	1.65E-08	1.28E-07
P11325	YLR382C	4.66E-06	4.03E-08	3.20E-08	1.65E-08	1.14E-07	7.97E-06	4.41E-09	1.61E-09	2.39E-09	4.58E-09
P11353	YDR044W	1.07E-06	6.97E-07	4.50E-07	3.42E-07	1.24E-06	1.16E-07	3.71E-08	4.46E-08	2.74E-08	1.33E-07
P11412	YNL241C	1.16E-05	1.09E-05	7.38E-06	6.45E-06	9.49E-06	2.21E-07	4.66E-07	5.28E-08	1.14E-07	5.95E-08
P11433	YAL041W	4.79E-08	5.82E-08	3.49E-08	2.96E-08	3.37E-08	2.56E-09	2.48E-09	1.27E-09	2.53E-09	2.70E-09
P11484	YDL229W	5.66E-05	4.06E-05	2.74E-05	2.31E-05	6.86E-05	2.79E-06	1.82E-07	1.71E-06	1.40E-06	8.34E-07
P11491	YDR481C	1.15E-06	2.03E-06	1.97E-06	1.84E-06	4.25E-07	2.91E-07	3.23E-07	6.89E-08	1.28E-07	2.27E-08
P11632	YPR052C	2.63E-06	4.26E-06	3.21E-06	2.61E-06	1.83E-06	3.58E-07	NA	4.03E-07	3.85E-07	1.21E-07
P11633	YBR089C-A	7.71E-06	9.67E-06	5.21E-06	4.84E-06	3.68E-06	4.60E-07	7.32E-07	1.10E-07	2.13E-07	2.93E-07
P11655	YNR026C	6.70E-08	8.19E-08	4.72E-08	3.59E-08	3.51E-08	3.54E-09	1.61E-09	2.96E-08	8.18E-09	6.94E-09
P11709	YCL029C	2.13E-08	2.41E-08	NA	1.32E-08	7.64E-09	NA	NA	NA	2.26E-09	3.91E-11
P11745	YMR235C	1.12E-06	1.34E-06	8.31E-07	7.04E-07	6.68E-07	1.91E-08	2.93E-08	1.80E-08	3.35E-08	2.24E-08
P11792	YHR205W	1.51E-07	2.65E-07	3.17E-07	2.88E-07	1.23E-07	1.41E-08	3.42E-08	1.81E-09	1.95E-08	9.14E-09
P11914	YHR024C	1.53E-06	9.17E-07	6.34E-07	5.17E-07	2.38E-06	6.87E-08	2.76E-08	3.37E-08	3.52E-08	1.33E-07
P11938	YNL216W	3.58E-07	4.66E-07	3.45E-07	3.04E-07	3.08E-07	3.35E-08	9.67E-09	1.36E-08	1.87E-08	1.35E-08
P11978	YDR227W	3.50E-07	1.75E-08	2.83E-08	1.75E-08	NA	NA	6.30E-09	2.96E-08	NA	NA
P11986	YJL153C	4.08E-06	3.99E-06	3.86E-06	1.97E-06	1.74E-06	1.63E-06	1.69E-07	1.92E-07	1.31E-07	1.73E-07
P12383	YGL013C	4.37E-08	5.95E-08	3.60E-08	3.22E-08	2.44E-08	1.18E-08	6.67E-09	1.09E-09	4.36E-09	1.17E-09
P12385	YBR143C	1.77E-06	1.66E-06	1.02E-06	8.96E-07	1.52E-06	1.35E-07	3.29E-08	2.42E-08	4.67E-08	2.31E-09
P12611	YOR043W	3.73E-07	5.89E-07	4.90E-07	4.41E-07	2.45E-07	1.15E-07	7.11E-08	1.10E-08	1.46E-08	2.80E-08
P12612	YDR212W	3.13E-06	2.73E-06	1.68E-06	1.41E-06	2.21E-06	6.76E-08	1.13E-07	7.50E-08	2.77E-08	5.52E-08
P12630	YIL015W	1.44E-07	3.06E-07	2.41E-07	2.67E-07	1.44E-07	2.43E-08	8.37E-08	5.44E-08	2.86E-08	3.28E-08
P12683	YML075C	8.81E-07	8.71E-07	5.69E-07	4.61E-07	3.07E-07	3.79E-08	4.82E-08	1.73E-08	6.44E-08	8.31E-08
P12685	YJL129C	3.49E-08	3.16E-08	2.03E-08	1.53E-08	3.11E-08	6.67E-09	2.38E-09	7.53E-10	2.44E-09	2.17E-09
P12686	YGR084C	5.10E-07	4.06E-07	2.66E-07	1.91E-07	6.49E-07	2.55E-08	1.23E-08	2.05E-08	9.77E-09	9.70E-09
P12687	YNL005C	2.47E-07	1.71E-07	1.03E-07	7.98E-08	3.01E-07	1.47E-08	1.03E-08	1.32E-08	5.73E-09	3.92E-08
P12688	YKL126W	5.50E-07	5.00E-07	3.65E-07	2.96E-07	5.90E-07	2.83E-08	2.21E-08	6.66E-08	3.20E-08	6.60E-09
P12695	YNL071W	8.95E-06	8.49E-06	5.23E-06	4.35E-06	5.10E-06	1.06E-07	4.97E-08	8.69E-08	2.73E-07	3.44E-07
P12709	YBR196C	2.91E-05	3.73E-05	2.42E-05	1.84E-05	2.16E-05	1.93E-06	9.17E-07	3.36E-07	9.72E-07	1.09E-06
P12753	YNL250W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P12754	YGR083C	7.31E-07	6.73E-07	4.76E-07	3.86E-07	6.36E-07	1.16E-07	9.06E-09	6.33E-09	4.42E-09	2.01E-08
P12868	YMR231W	NA	NA	5.99E-09	5.07E-09	NA	NA	NA	NA	NA	NA
P12887	YML021C	NA	NA	5.61E-08	NA	1.45E-07	NA	NA	NA	NA	4.04E-08
P12904	YGL115W	5.35E-07	5.66E-07	3.86E-07	3.12E-07	4.18E-07	3.79E-08	2.26E-08	2.68E-08	1.89E-08	6.82E-08
P12945	YDL040C	5.87E-07	5.52E-07	3.63E-07	2.87E-07	5.99E-07	7.39E-08	2.82E-08	7.91E-09	1.09E-08	1.67E-08
P12962	YOR276W	3.38E-07	3.51E-07	2.25E-07	1.79E-07	2.85E-07	2.06E-09	9.21E-09	9.31E-09	2.57E-08	1.11E-08
P13185	YDR122W	1.57E-07	2.52E-07	1.74E-07	1.37E-07	7.25E-08	2.85E-08	3.44E-08	2.09E-08	1.37E-08	1.19E-08
P13188	YOR168W	2.53E-06	2.15E-06	1.47E-06	1.26E-06	2.87E-06	1.94E-07	5.98E-08	2.94E-08	2.94E-08	5.56E-08
P13259	YGR202C	1.96E-07	2.47E-07	1.83E-07	1.77E-07	2.30E-07	2.17E-08	1.09E-08	2.43E-08	7.23E-09	1.15E-08
P13298	YML106W	2.35E-06	2.69E-06	1.60E-06	1.36E-06	1.46E-06	5.90E-08	2.42E-07	2.99E-08	1.09E-07	1.66E-07
P13382	YNL102W	1.46E-08	2.50E-08	NA	9.66E-09	1.21E-08	NA	NA	NA	NA	NA
P13393	YER148W	1.68E-07	2.18E-07	1.54E-07	1.09E-07	1.62E-07	2.56E-08	3.73E-08	4.60E-09	1.24E-08	1.07E-08
P13433	YFL036W	4.02E-08	NA	NA	NA	1.00E-07	NA	NA	NA	NA	3.36E-09
P13517	YIL034C	1.52E-06	1.75E-06	1.11E-06	9.56E-07	8.17E-07	9.33E-08	1.04E-07	8.40E-08	5.01E-08	3.99E-08
P13574	YHR084W	2.70E-08	3.41E-08	2.55E-08	NA	2.15E-08	5.88E-09	3.26E-09	5.76E-10	NA	2.78E-09
P13586	YGL167C	2.51E-07	4.28E-07	2.84E-07	2.20E-07	1.41E-07	1.79E-08	1.35E-08	1.62E-08	8.15E-09	2.30E-08
P13663	YDR158W	1.59E-05	1.02E-05	5.90E-06	4.76E-06	1.18E-05	1.37E-06	2.84E-07	1.17E-07	1.62E-07	3.01E-07
P13711	YGL205W	4.33E-06	3.10E-06	3.84E-07	2.07E-07	4.05E-07	3.50E-07	1.11E-07	7.50E-09	8.29E-09	1.55E-07
P13712	YBR195C	3.18E-08	6.79E-08	5.58E-08	4.08E-08	2.24E-08	5.63E-10	6.09E-09	6.05E-09	3.06E-09	NA
P14020	YPR183W	5.22E-06	4.38E-06	2.53E-06	2.00E-06	2.73E-06	2.02E-07	2.22E-07	4.60E-08	1.76E-07	6.44E-07
P14063	YKL138C	9.37E-07	5.86E-07	4.28E-07	2.83E-07	1.24E-06	2.76E-07	1.38E-08	4.25E-08	4.47E-08	3.40E-08
P14065	YOR120W	2.59E-06	3.42E-06	1.16E-06	8.79E-07	2.24E-07	1.88E-07	2.86E-07	4.32E-08	5.20E-08	3.17E-08
P14120	YGL030W	3.37E-05	3.06E-05	1.80E-05	1.50E-05	3.62E-05	2.19E-06	8.64E-07	2.22E-07	3.13E-07	3.65E-07
P14126	YOR063W	6.62E-05	5.68E-05	3.62E-05	3.17E-05	7.14E-05	3.86E-06	2.86E-07	6.12E-07	1.20E-06	1.77E-06
P14164	YKL112W	5.44E-07	6.55E-07	4.38E-07	3.82E-07	3.12E-07	4.68E-08	2.24E-08	1.82E-08	1.50E-08	2.72E-08
P14306	YLR178C	4.29E-06	4.27E-06	2.26E-06	1.84E-06	4.24E-07	6.13E-07	3.22E-07	7.61E-08	8.54E-08	7.20E-08
P14540	YKL060C	0.000196587	0.000251173	0.000134146	0.000112552	0.000111374	5.25E-06	7.85E-06	2.99E-06	2.65E-06	4.94E-06
P14681	YGR040W	1.98E-08	2.10E-08	1.32E-08	1.29E-08	NA	7.21E-09	5.26E-09	NA	NA	NA
P14741	YKR026C	5.97E-07	NA	3.45E-07	3.01E-07	3.50E-07	NA	NA	3.49E-08	3.68E-08	8.42E-08
P14742	YKL104C	2.55E-06	2.90E-06	1.70E-06	1.42E-06	1.38E-06	2.91E-07	1.13E-07	2.94E-08	7.70E-08	5.46E-08
P14743	YLR195C	3.99E-07	4.77E-07	3.43E-07	2.87E-07	3.91E-07	2.06E-08	2.14E-08	3.04E-09	5.68E-09	1.11E-08
P14747	YML057W	3.04E-07	3.82E-07	2.53E-07	1.98E-07	2.26E-07	5.99E-09	3.49E-09	4.19E-08	1.85E-08	4.02E-08
P14832	YDR155C	0.000120242	0.00013933	9.02E-05	7.06E-05	4.37E-05	1.43E-05	9.28E-06	4.82E-06	2.41E-06	1.74E-06
P14843	YDR035W	2.89E-06	2.14E-06	1.26E-06	1.16E-06	1.36E-06	9.14E-08	6.40E-08	3.02E-08	7.04E-08	2.27E-08
P14904	YKL103C	4.25E-06	9.85E-06	8.20E-06	7.31E-06	2.07E-06	6.84E-07	2.45E-07	2.25E-07	4.46E-07	1.18E-07
P14906	YOR254C	5.15E-07	6.96E-07	4.19E-07	3.25E-07	3.97E-07	3.63E-08	3.61E-08	1.47E-08	2.16E-08	3.92E-08
P14907	YJL041W	5.75E-07	6.28E-07	4.12E-07	3.65E-07	3.57E-07	3.95E-08	5.98E-08	1.27E-08	7.29E-09	1.99E-08
P14908	YMR228W	1.61E-07	1.37E-07	9.62E-08	7.30E-08	1.53E-07	1.47E-08	2.47E-08	8.21E-09	6.69E-09	1.73E-08
P14922	YBR112C	5.41E-07	7.39E-07	5.47E-07	4.56E-07	4.71E-07	1.30E-08	3.01E-08	3.43E-08	3.27E-08	2.26E-08
P15019	YLR354C	2.32E-05	2.75E-05	1.42E-05	1.10E-05	1.48E-05	1.65E-06	9.22E-07	3.43E-07	6.03E-07	2.40E-07
P15108	YMR186W	6.98E-05	7.47E-05	4.89E-05	3.55E-05	4.27E-05	1.02E-05	1.46E-06	9.27E-07	3.90E-06	2.98E-07
P15179	YPL104W	6.63E-08	4.64E-08	NA	NA	1.20E-07	4.79E-09	2.23E-09	NA	NA	8.50E-09
P15180	YDR037W	9.66E-06	7.59E-06	4.45E-06	3.98E-06	6.93E-06	1.06E-06	1.73E-07	1.09E-07	1.69E-07	1.33E-07
P15202	YDR256C	9.72E-06	2.27E-06	1.77E-07	6.90E-08	2.08E-07	3.48E-06	8.27E-08	1.31E-08	1.09E-08	9.46E-08
P15274	YML035C	2.29E-07	2.50E-07	2.04E-07	1.57E-07	2.18E-07	1.36E-08	1.34E-08	7.14E-09	5.45E-09	1.28E-08
P15303	YPR181C	1.30E-06	1.40E-06	8.61E-07	6.74E-07	1.07E-06	1.11E-07	4.18E-08	1.06E-08	3.60E-08	4.29E-08
P15367	YIR022W	2.70E-07	NA	2.69E-07	NA	NA	NA	NA	NA	NA	NA
P15424	YDR194C	8.61E-07	4.82E-07	2.97E-07	2.32E-07	1.67E-06	2.76E-08	8.61E-09	9.88E-09	2.08E-08	2.31E-08
P15436	YDL102W	3.81E-08	5.81E-08	2.74E-08	2.45E-08	3.21E-08	NA	NA	NA	NA	1.95E-09
P15442	YDR283C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P15454	YDR454C	9.27E-06	8.33E-06	4.95E-06	4.42E-06	5.49E-06	1.19E-06	3.15E-07	1.86E-07	3.17E-07	6.81E-08
P15496	YPL117C	2.10E-06	1.97E-06	1.47E-06	1.32E-06	1.46E-06	1.48E-07	2.05E-07	3.44E-08	1.03E-07	1.11E-08
P15624	YLR060W	5.22E-06	4.25E-06	2.76E-06	2.48E-06	5.17E-06	1.65E-07	1.85E-07	3.89E-08	5.18E-08	6.13E-08
P15625	YFL022C	4.26E-06	3.88E-06	2.45E-06	2.16E-06	4.17E-06	1.43E-07	1.11E-07	3.83E-08	1.30E-07	2.10E-08
P15646	YDL014W	1.03E-05	6.79E-06	3.36E-06	3.10E-06	9.08E-06	3.57E-07	5.37E-07	7.20E-08	2.78E-07	1.16E-07
P15700	YKL024C	4.13E-06	3.24E-06	1.43E-06	1.25E-06	2.21E-06	1.39E-07	5.00E-08	3.89E-08	1.01E-07	8.57E-08
P15703	YGR282C	1.10E-05	1.61E-05	9.98E-06	7.73E-06	5.91E-06	7.27E-07	9.40E-07	6.71E-07	8.38E-07	6.88E-08
P15705	YOR027W	1.95E-05	1.89E-05	9.62E-06	7.22E-06	5.20E-06	3.26E-06	3.74E-07	1.51E-07	5.51E-07	1.77E-07
P15731	YBR082C	1.08E-05	1.11E-05	6.94E-06	5.95E-06	4.54E-06	1.06E-06	1.42E-07	1.18E-07	2.45E-07	4.80E-07
P15732	YDR059C	9.64E-07	1.12E-06	5.40E-07	4.53E-07	1.57E-07	1.44E-07	6.98E-08	1.50E-08	2.97E-08	7.36E-09
P15790	YIL035C	3.56E-07	3.00E-07	2.11E-07	1.67E-07	3.30E-07	2.51E-08	1.32E-08	1.85E-08	5.65E-08	2.46E-08
P15807	YBR213W	NA	NA	1.20E-08	NA	3.87E-08	NA	NA	NA	NA	NA
P15873	YBR088C	1.81E-06	2.34E-06	1.50E-06	1.41E-06	9.37E-07	1.38E-07	8.87E-08	2.85E-08	1.53E-07	3.98E-08
P15891	YCR088W	2.43E-06	2.79E-06	1.84E-06	1.51E-06	1.60E-06	4.52E-08	6.75E-08	4.67E-08	1.76E-07	1.30E-07
P15992	YBR072W	0.000179431	0.000204065	4.37E-05	1.86E-05	4.22E-06	5.83E-05	2.02E-05	5.16E-06	4.09E-06	1.99E-07
P16120	YCR053W	6.77E-06	7.16E-06	3.97E-06	3.25E-06	5.39E-06	1.05E-07	1.44E-07	7.33E-08	1.24E-07	6.97E-08
P16140	YBR127C	9.22E-06	1.39E-05	1.16E-05	1.00E-05	9.03E-06	1.83E-07	3.42E-07	1.49E-07	6.38E-07	2.19E-07
P16370	YIL021W	6.96E-07	5.75E-07	3.85E-07	3.50E-07	4.15E-07	4.92E-08	1.83E-08	5.10E-08	6.22E-08	9.97E-09
P16387	YER178W	1.15E-05	1.36E-05	7.69E-06	6.15E-06	7.04E-06	2.96E-07	4.04E-07	3.71E-07	2.81E-07	5.05E-07
P16451	YGR193C	6.28E-07	5.63E-07	3.06E-07	2.55E-07	3.01E-07	2.44E-08	1.05E-08	2.18E-08	9.57E-09	1.97E-08
P16467	YLR134W	1.13E-07	1.19E-07	4.64E-09	1.39E-08	9.27E-08	2.88E-08	1.22E-08	6.06E-10	1.63E-09	1.75E-08
P16474	YJL034W	1.03E-05	9.86E-06	6.58E-06	5.41E-06	7.03E-06	1.11E-06	1.22E-07	1.17E-07	3.49E-08	4.79E-08
P16521	YLR249W	1.95E-05	2.59E-05	1.95E-05	1.67E-05	4.08E-05	2.62E-06	3.73E-07	6.55E-07	1.12E-06	2.27E-06
P16547	YIL136W	1.31E-05	7.47E-06	3.04E-06	2.05E-06	1.62E-06	9.17E-07	4.04E-07	8.98E-08	9.03E-08	3.55E-07
P16550	YCL050C	2.64E-06	3.22E-06	1.99E-06	1.74E-06	1.45E-06	1.74E-07	6.94E-09	5.79E-08	1.73E-07	3.02E-08
P16603	YHR042W	1.06E-06	1.09E-06	7.86E-07	6.93E-07	6.04E-07	2.99E-08	4.69E-08	2.75E-08	7.10E-08	1.96E-08
P16622	YOR176W	1.50E-06	1.82E-06	1.33E-06	1.04E-06	1.18E-06	1.83E-07	4.34E-08	2.54E-08	5.18E-08	8.75E-08
P16639	YGL017W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P16649	YCR084C	1.74E-06	2.32E-06	1.67E-06	1.52E-06	1.36E-06	4.64E-08	8.89E-08	6.70E-08	5.82E-08	4.99E-08
P16661	YBR110W	3.25E-07	3.06E-07	2.05E-07	1.52E-07	1.68E-07	6.99E-08	NA	2.07E-08	1.82E-09	NA
P16664	YDR137W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P16861	YGR240C	7.41E-06	8.34E-06	6.04E-06	5.06E-06	7.67E-06	8.36E-07	1.20E-07	1.01E-07	1.31E-07	1.27E-07
P16862	YMR205C	1.05E-05	1.19E-05	8.54E-06	7.17E-06	1.07E-05	9.51E-07	2.92E-07	2.17E-07	5.01E-07	3.66E-08
P16892	YBL016W	2.67E-07	2.57E-07	1.65E-07	1.37E-07	2.78E-07	1.78E-08	6.33E-09	2.80E-09	1.88E-08	4.01E-08
P17065	YNL272C	1.34E-07	1.07E-07	6.09E-08	5.36E-08	5.59E-08	1.77E-09	3.84E-08	1.10E-08	3.62E-09	2.93E-10
P17076	YHL033C	4.32E-05	3.69E-05	2.54E-05	2.25E-05	4.57E-05	1.69E-06	1.12E-06	1.18E-06	8.29E-07	1.71E-06
P17106	YJR060W	2.23E-07	2.74E-07	1.79E-07	1.48E-07	1.25E-07	9.22E-09	9.15E-09	1.50E-08	1.88E-08	4.35E-09
P17157	YPL031C	9.69E-07	1.22E-06	8.80E-07	7.44E-07	6.35E-07	5.69E-08	6.68E-08	4.01E-08	5.28E-08	4.41E-08
P17255	YDL185W	9.37E-06	1.22E-05	1.06E-05	9.64E-06	8.36E-06	1.34E-06	2.13E-07	2.90E-07	4.95E-07	1.78E-07
P17423	YHR025W	1.58E-06	1.52E-06	8.04E-07	7.59E-07	1.24E-06	6.60E-08	2.25E-07	3.64E-08	3.41E-08	1.20E-07
P17442	YGR233C	3.10E-08	4.04E-08	4.30E-08	2.68E-08	1.63E-08	2.05E-09	9.00E-09	4.41E-09	7.14E-09	3.72E-09
P17505	YKL085W	1.61E-05	1.28E-05	8.52E-06	5.35E-06	1.39E-05	1.04E-06	6.76E-07	1.20E-07	1.11E-07	1.30E-06
P17536	YNL079C	6.34E-07	8.15E-07	4.93E-07	4.43E-07	2.86E-07	1.83E-08	2.87E-08	1.51E-08	2.56E-08	6.53E-09
P17555	YNL138W	1.46E-06	1.53E-06	9.97E-07	9.21E-07	8.19E-07	6.12E-08	8.17E-08	6.88E-09	4.25E-08	4.40E-08
P17558	YOR158W	2.90E-07	2.18E-07	1.08E-07	1.10E-07	4.40E-07	3.48E-08	2.54E-08	4.70E-09	9.72E-09	3.44E-08
P17629	YDR138W	1.07E-08	1.56E-08	NA	9.31E-09	8.28E-09	4.37E-09	5.73E-10	NA	2.22E-09	3.02E-09
P17649	YGR019W	1.54E-06	1.65E-06	1.30E-06	1.09E-06	3.46E-07	2.54E-07	9.78E-08	1.34E-08	9.61E-08	5.91E-08
P17695	YDR513W	8.06E-06	8.50E-06	4.90E-06	3.97E-06	2.14E-06	8.91E-07	2.03E-07	2.12E-07	1.22E-07	2.25E-07
P17709	YCL040W	2.58E-05	1.72E-05	8.02E-06	6.20E-06	8.25E-06	7.35E-07	1.11E-07	3.04E-07	1.15E-07	1.25E-06
